PaperCut Print Logger - http://www.papercut.com/
Time,User,Pages,Copies,Printer,Document Name,Client,Paper Size,Language,Height,Width,Duplex,Grayscale,Size
2014-04-01 19:19:34,rpavicic,5,2,Rpavicic-HPLJ400 M401dn,"::chriscatron::: PaperCut Print Logger",R-PAVICIC,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,122kb,
2014-04-01 19:25:47,mbrozovic,1,3,Mbrozovic-HPLJ400 M401dn,"Raè  03 04 2014.xls",M-BROZOVIC,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,76kb,
2014-04-01 19:42:40,ajezovita,1,1,Ajezovita-HPLJ400 M401dn,"Microsoft Word - Zahtjev_za_putni_nalog_LŽ.doc",A-JEZOVITA,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,87kb,
2014-04-01 20:58:29,bjakovic,1,1,Bjakovic-HPCLJ CP2025dn,"0040_001.pdf",B-JAKOVIC,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,2054kb,
2014-04-01 21:34:39,bjakovic,1,1,Bjakovic-HPCLJ CP2025dn,"!InformatikaPrimjenaTESTOVI20132014BJ.xls",B-JAKOVIC,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,86kb,
2014-04-01 21:34:46,bjakovic,1,1,Bjakovic-HPCLJ CP2025dn,"!InformatikaPrimjenaTESTOVI20132014BJ.xls",B-JAKOVIC,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,88kb,
2014-04-01 21:35:03,bjakovic,1,1,Bjakovic-HPCLJ CP2025dn,"!InformatikaPrimjenaTESTOVI20132014BJ.xls",B-JAKOVIC,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,88kb,
2014-04-02 06:17:50,vsebok,1,1,KiD-Samsung ML-3050,"http://24.media.tumblr.com/tumblr_m04e2edJhh1qc2qw5o1_500.jpg",V-SEBOK,A4,EMF,,,NOT DUPLEX,GRAYSCALE,1382kb,
2014-04-02 06:18:16,vsebok,2,1,KiD-Samsung ML-3050,"Microsoft Word - DNEVNIK RADA - ŠABLONA",V-SEBOK,A4,EMF,,,NOT DUPLEX,GRAYSCALE,8724kb,
2014-04-02 07:10:31,mhladika,2,1,Mhladika-HPLJ400 M401dn,"Microsoft Outlook - Stil dopisa",M-HLADIKA,A4,PCL6,,,NOT DUPLEX,NOT GRAYSCALE,145kb,
